-------------------------------Rules------------------------------
R 1:                2, 4 ==> 1
R173:                5, 9 ==> 3, 4, 6
R174:                5, 6, 9 ==> 3, 4
R175:                4, 5, 9 ==> 3, 6
R176:                3, 5, 9 ==> 4, 6
R177:                3, 4, 5, 9 ==> 6
R178:                3, 5, 6, 9 ==> 4
R179:                4, 5, 6, 9 ==> 3
R180:                6, 7, 9 ==> 3, 4
R181:                4, 6, 7 ==> 3, 9
R182:                3, 6, 7 ==> 4, 9
R183:                3, 4, 6, 7 ==> 9
R184:                3, 6, 7, 9 ==> 4
R185:                4, 6, 7, 9 ==> 3
R186:                1, 5 ==> 3, 4, 6, 9
R187:                5, 9 ==> 1, 3, 4, 6
R188:                5, 6, 9 ==> 1, 3, 4
R189:                4, 5, 9 ==> 1, 3, 6
R190:                3, 5, 9 ==> 1, 4, 6
R191:                1, 5, 9 ==> 3, 4, 6
R192:                1, 5, 6 ==> 3, 4, 9
R193:                1, 4, 5 ==> 3, 6, 9
R194:                1, 3, 5 ==> 4, 6, 9
R195:                4, 5, 6, 9 ==> 1, 3
R196:                3, 5, 6, 9 ==> 1, 4
R197:                3, 4, 5, 9 ==> 1, 6
R198:                1, 5, 6, 9 ==> 3, 4
R199:                1, 4, 5, 9 ==> 3, 6
R200:                1, 4, 5, 6 ==> 3, 9
R201:                1, 3, 6, 9 ==> 4, 5
R202:                1, 3, 5, 9 ==> 4, 6
R203:                1, 3, 5, 6 ==> 4, 9
R204:                1, 3, 4, 5 ==> 6, 9
R205:                1, 3, 4, 5, 6 ==> 9
R206:                1, 3, 4, 5, 9 ==> 6
R207:                1, 3, 4, 6, 9 ==> 5
R208:                1, 3, 5, 6, 9 ==> 4
R209:                1, 4, 5, 6, 9 ==> 3
R210:                3, 4, 5, 6, 9 ==> 1
------------------------------------------------------------------

	
