-------------------------------Rules------------------------------
R 1:                1 ==> 2
R208:                1, 4, 9 ==> 2
R209:                2, 4, 9 ==> 1
R210:                1, 5, 6 ==> 2
R211:                2, 5, 6 ==> 1
R212:                5, 7 ==> 1, 2
R213:                1, 2, 7 ==> 5
R214:                1, 5, 7 ==> 2
R215:                2, 5, 7 ==> 1
R216:                2, 8 ==> 1, 5
R217:                1, 2, 8 ==> 5
R218:                1, 5, 8 ==> 2
R219:                2, 5, 8 ==> 1
R220:                1, 2, 9 ==> 5
R221:                1, 5, 9 ==> 2
R222:                2, 5, 9 ==> 1
R223:                6, 7 ==> 1, 2
R224:                1, 6, 7 ==> 2
R225:                2, 6, 7 ==> 1
R226:                1, 6, 8 ==> 2
R227:                2, 6, 8 ==> 1
R228:                1, 9 ==> 2, 6
R229:                1, 2, 9 ==> 6
R230:                1, 6, 9 ==> 2
R231:                2, 6, 9 ==> 1
R232:                1, 2, 8 ==> 7
R233:                1, 7, 8 ==> 2
R234:                2, 7, 8 ==> 1
R235:                7, 9 ==> 1, 2
R236:                1, 7, 9 ==> 2
R237:                2, 7, 9 ==> 1
R238:                1, 8, 9 ==> 2
R239:                2, 8, 9 ==> 1
R240:                4, 5 ==> 1, 3
R241:                1, 3, 5 ==> 4
R242:                1, 4, 5 ==> 3
R243:                3, 4, 5 ==> 1
R244:                4, 6 ==> 1, 3
R245:                1, 4, 6 ==> 3
R246:                3, 4, 6 ==> 1
R247:                3, 7 ==> 1, 4
R248:                1, 3, 7 ==> 4
R249:                3, 4, 7 ==> 1
R250:                3, 8 ==> 1, 4
R251:                1, 3, 8 ==> 4
R252:                1, 4, 8 ==> 3
R253:                3, 4, 8 ==> 1
R254:                4, 9 ==> 1, 3
R255:                1, 3, 9 ==> 4
R256:                1, 4, 9 ==> 3
R257:                3, 4, 9 ==> 1
R258:                1, 5, 6 ==> 3
R259:                3, 5, 6 ==> 1
R260:                1, 3, 7 ==> 5
R261:                1, 5, 7 ==> 3
R262:                3, 5, 7 ==> 1
R263:                3, 8 ==> 1, 5
R264:                1, 3, 8 ==> 5
R265:                1, 5, 8 ==> 3
R266:                3, 5, 8 ==> 1
R267:                1, 3, 9 ==> 5
R268:                1, 5, 9 ==> 3
R269:                3, 5, 9 ==> 1
R270:                6, 7 ==> 1, 3
R271:                1, 6, 7 ==> 3
R272:                3, 6, 7 ==> 1
R273:                6, 8 ==> 1, 3
R274:                1, 3, 8 ==> 6
R275:                1, 6, 8 ==> 3
R276:                3, 6, 8 ==> 1
R277:                1, 9 ==> 3, 6
R278:                1, 3, 9 ==> 6
R279:                1, 6, 9 ==> 3
R280:                3, 7, 8 ==> 1
R281:                7, 9 ==> 1, 3
R282:                1, 7, 9 ==> 3
R283:                3, 7, 9 ==> 1
R284:                8, 9 ==> 1, 3
R285:                1, 8, 9 ==> 3
R286:                3, 8, 9 ==> 1
R287:                4, 6 ==> 1, 5
R288:                1, 4, 6 ==> 5
R289:                1, 5, 6 ==> 4
R290:                4, 5, 6 ==> 1
R291:                5, 7 ==> 1, 4
R292:                1, 5, 7 ==> 4
R293:                4, 5, 7 ==> 1
R294:                4, 8 ==> 1, 5
R295:                1, 8 ==> 4, 5
R296:                1, 4, 8 ==> 5
R297:                1, 5, 8 ==> 4
R298:                4, 5, 8 ==> 1
R299:                4, 9 ==> 1, 5
R300:                1, 4, 9 ==> 5
R301:                1, 5, 9 ==> 4
R302:                4, 5, 9 ==> 1
R303:                6, 7 ==> 1, 4
R304:                1, 6, 7 ==> 4
R305:                4, 6, 7 ==> 1
R306:                1, 6, 8 ==> 4
R307:                4, 6, 8 ==> 1
R308:                4, 9 ==> 1, 6
R309:                1, 4, 9 ==> 6
R310:                1, 6, 9 ==> 4
R311:                4, 6, 9 ==> 1
R312:                7, 8 ==> 1, 4
R313:                4, 8 ==> 1, 7
R314:                1, 8 ==> 4, 7
R315:                1, 4, 8 ==> 7
R316:                1, 7, 8 ==> 4
R317:                4, 7, 8 ==> 1
R318:                7, 9 ==> 1, 4
R319:                1, 7, 9 ==> 4
R320:                4, 7, 9 ==> 1
R321:                1, 8, 9 ==> 4
R322:                4, 8, 9 ==> 1
R323:                6, 7 ==> 1, 5
R324:                1, 6, 7 ==> 5
R325:                5, 6, 7 ==> 1
R326:                6, 8 ==> 1, 5
R327:                1, 6, 8 ==> 5
R328:                5, 6, 8 ==> 1
R329:                1, 5, 9 ==> 6
R330:                1, 6, 9 ==> 5
R331:                5, 6, 9 ==> 1
R332:                7, 8 ==> 1, 5
R333:                1, 5, 7 ==> 8
R334:                1, 5, 8 ==> 7
R335:                1, 7, 8 ==> 5
R336:                5, 7, 8 ==> 1
R337:                7, 9 ==> 1, 5
R338:                1, 7, 9 ==> 5
R339:                5, 7, 9 ==> 1
R340:                1, 5, 9 ==> 8
R341:                1, 8, 9 ==> 5
R342:                5, 8, 9 ==> 1
R343:                6, 7, 8 ==> 1
R344:                7, 9 ==> 1, 6
R345:                1, 7, 9 ==> 6
R346:                6, 7, 9 ==> 1
R347:                1, 6, 8 ==> 9
R348:                1, 8, 9 ==> 6
R349:                6, 8, 9 ==> 1
R350:                7, 9 ==> 1, 8
R351:                1, 7, 9 ==> 8
